anulovať	скасувати	anulovať	скасувати	NFIN;V
kocúry	коти	kocúr	кіт	ACC;N;PL
kocúra	кота	kocúr	кіт	ACC;N;SG
kocúry	коти	kocúr	кіт	N;NOM;PL
kocúrami	котами	kocúr	кіт	INS;N;PL
kocúrovi	котові	kocúr	кіт	ESS;N;SG
kocúr	кіт	kocúr	кіт	N;NOM;SG
kocúrovi	котові	kocúr	кіт	DAT;N;SG
kocúroch	котах	kocúr	кіт	ESS;N;PL
kocúrom	котом	kocúr	кіт	INS;N;SG
kocúrom	котам	kocúr	кіт	DAT;N;PL
kocúrov	котів	kocúr	кіт	GEN;N;PL
kocúry	кішки	kocúr	кішка	N;NOM;PL
kocúrovi	кішці	kocúr	кішка	DAT;N;SG
kocúra	кішку	kocúr	кішка	ACC;N;SG
kocúrami	кішками	kocúr	кішка	INS;N;PL
kocúry	кішки	kocúr	кішка	ACC;N;PL
kocúrom	кішкою	kocúr	кішка	INS;N;SG
kocúr	кішка	kocúr	кішка	N;NOM;SG
kocúrov	кішок	kocúr	кішка	GEN;N;PL
kocúrom	кішкам	kocúr	кішка	DAT;N;PL
kocúrovi	кішці	kocúr	кішка	ESS;N;SG
kocúroch	кішках	kocúr	кішка	ESS;N;PL
kocúra	кішки	kocúr	кішка	GEN;N;SG
kohútov	півні	kohút	півень	ACC;N;PL
kohúty	півні	kohút	півень	N;NOM;PL
kohúta	півня	kohút	півень	GEN;N;SG
kohútom	півням	kohút	півень	DAT;N;PL
kohútovi	півневі	kohút	півень	DAT;N;SG
kohútom	півнем	kohút	півень	INS;N;SG
kohúta	півня	kohút	півень	ACC;N;SG
kohútovi	півневі	kohút	півень	ESS;N;SG
kohút	півень	kohút	півень	N;NOM;SG
kohútmi	півнями	kohút	півень	INS;N;PL
kohútoch	півнях	kohút	півень	ESS;N;PL
kohútov	півнів	kohút	півень	GEN;N;PL
kozách	козах	koza	коза	ESS;N;PL
kôz	кіз	koza	коза	GEN;N;PL
kozám	козам	koza	коза	DAT;N;PL
koza	коза	koza	коза	N;NOM;SG
koze	козі	koza	коза	ESS;N;SG
kozu	козу	koza	коза	ACC;N;SG
kozy	кози	koza	коза	N;NOM;PL
kozami	козами	koza	коза	INS;N;PL
kozou	козою	koza	коза	INS;N;SG
kozy	кози	koza	коза	GEN;N;SG
kozy	кози	koza	коза	ACC;N;PL
koze	козі	koza	коза	DAT;N;SG
kozy	цапи	koza	цап	ACC;N;PL
kozu	цапа	koza	цап	ACC;N;SG
kozy	цапа	koza	цап	GEN;N;SG
koze	цапові	koza	цап	DAT;N;SG
kozách	цапах	koza	цап	ESS;N;PL
koza	цап	koza	цап	N;NOM;SG
koze	цапові	koza	цап	ESS;N;SG
kozám	цапам	koza	цап	DAT;N;PL
kozy	цапи	koza	цап	N;NOM;PL
kozou	цапом	koza	цап	INS;N;SG
kôz	цапів	koza	цап	GEN;N;PL
kozami	цапами	koza	цап	INS;N;PL
kráľov	королів	kráľ	король	GEN;N;PL
králi	королі	kráľ	король	N;NOM;PL
kráľa	короля	kráľ	король	GEN;N;SG
kráľom	королям	kráľ	король	DAT;N;PL
kráľom	королем	kráľ	король	INS;N;SG
kráľov	королів	kráľ	король	ACC;N;PL
kráľovi	королеві	kráľ	король	DAT;N;SG
kráľmi	королями	kráľ	король	INS;N;PL
kráľoch	королях	kráľ	король	ESS;N;PL
kráľa	короля	kráľ	король	ACC;N;SG
kráľ	король	kráľ	король	N;NOM;SG
kráľovi	королеві	kráľ	король	ESS;N;SG
kráľa	царя	kráľ	цар	ACC;N;SG
kráľov	царів	kráľ	цар	GEN;N;PL
kráľovi	цареві	kráľ	цар	DAT;N;SG
kráľmi	царями	kráľ	цар	INS;N;PL
kráľoch	царях	kráľ	цар	ESS;N;PL
kráľa	царя	kráľ	цар	GEN;N;SG
kráľom	царем	kráľ	цар	INS;N;SG
králi	царі	kráľ	цар	N;NOM;PL
kráľom	царям	kráľ	цар	DAT;N;PL
kráľovi	цареві	kráľ	цар	ESS;N;SG
kráľ	цар	kráľ	цар	N;NOM;SG
kráľov	царів	kráľ	цар	ACC;N;PL
kuny	куниці	kuna	куниця	ACC;N;PL
kunám	куницям	kuna	куниця	DAT;N;PL
kuny	куниці	kuna	куниця	GEN;N;SG
kuna	куниця	kuna	куниця	N;NOM;SG
kún	куниць	kuna	куниця	GEN;N;PL
kunou	куницею	kuna	куниця	INS;N;SG
kuny	куниці	kuna	куниця	N;NOM;PL
kune	куниці	kuna	куниця	DAT;N;SG
kune	куниці	kuna	куниця	ESS;N;SG
kunách	куницях	kuna	куниця	ESS;N;PL
kunu	куницю	kuna	куниця	ACC;N;SG
kunami	куницями	kuna	куниця	INS;N;PL
kupujte	купуйте	kupovať	купувати	2;IMP;PL;V
kupujete	купуєте	kupovať	купувати	2;PL;PRS;V
kupujme	купуймо	kupovať	купувати	1;IMP;PL;V
kupovávali	купували	kupovať	купувати	3;FEM;PL;PST;V
kupuj	купуй	kupovať	купувати	2;IMP;SG;V
kupuje	купує	kupovať	купувати	3;PRS;SG;V
kupovať	купувати	kupovať	купувати	NFIN;V
kupujú	купують	kupovať	купувати	3;PL;PRS;V
kupovávali	купували	kupovať	купувати	3;MASC;PL;PST;V
kupovávalo	купувало	kupovať	купувати	3;NEUT;PST;SG;V
kupujeme	купуємо	kupovať	купувати	1;PL;PRS;V
kupovával	купував	kupovať	купувати	3;MASC;PST;SG;V
kupuješ	купуєш	kupovať	купувати	2;PRS;SG;V
kupujem	купую	kupovať	купувати	1;PRS;SG;V
kupovávala	купувала	kupovať	купувати	3;FEM;PST;SG;V
kvarkom	кварком	kvark	кварк	INS;N;SG
kvarku	кварку	kvark	кварк	ESS;N;SG
kvarkoch	кварках	kvark	кварк	ESS;N;PL
kvark	кварк	kvark	кварк	N;NOM;SG
kvarkom	кваркам	kvark	кварк	DAT;N;PL
kvarky	кварки	kvark	кварк	ACC;N;PL
kvarkov	кварків	kvark	кварк	GEN;N;PL
kvarkmi	кварками	kvark	кварк	INS;N;PL
kvark	кварк	kvark	кварк	ACC;N;SG
kvarku	кварку	kvark	кварк	DAT;N;SG
kvarku	кварка	kvark	кварк	GEN;N;SG
kvarky	кварки	kvark	кварк	N;NOM;PL
kone	коні	kôň	кінь	ACC;N;PL
koňa	коня	kôň	кінь	GEN;N;SG
koňa	коня	kôň	кінь	ACC;N;SG
koňom	конем	kôň	кінь	INS;N;SG
kôň	кінь	kôň	кінь	N;NOM;SG
koňovi	коневі	kôň	кінь	DAT;N;SG
koní	коней	kôň	кінь	GEN;N;PL
kone	коні	kôň	кінь	N;NOM;PL
koňovi	коні	kôň	кінь	ESS;N;SG
koňmi	кіньми	kôň	кінь	INS;N;PL
koňoch	конях	kôň	кінь	ESS;N;PL
koňom	коням	kôň	кінь	DAT;N;PL
kňazom	отцям	kňaz	отець	DAT;N;PL
kňazmi	отцями	kňaz	отець	INS;N;PL
kňazovi	отцеві	kňaz	отець	ESS;N;SG
kňaza	отця	kňaz	отець	GEN;N;SG
kňazom	отцем	kňaz	отець	INS;N;SG
kňazovi	отцеві	kňaz	отець	DAT;N;SG
kňaza	отця	kňaz	отець	ACC;N;SG
kňazov	отців	kňaz	отець	ACC;N;PL
kňazoch	отцях	kňaz	отець	ESS;N;PL
kňazov	отців	kňaz	отець	GEN;N;PL
kňazi	отці	kňaz	отець	N;NOM;PL
kňaz	отець	kňaz	отець	N;NOM;SG
labuti	лебедеві	labuť	лебідь	ESS;N;SG
labute	лебедя	labuť	лебідь	GEN;N;SG
labuťami	лебедями	labuť	лебідь	INS;N;PL
labutiam	лебедям	labuť	лебідь	DAT;N;PL
labuť	лебедя	labuť	лебідь	ACC;N;SG
labutí	лебедів	labuť	лебідь	GEN;N;PL
labutiach	лебедях	labuť	лебідь	ESS;N;PL
labuti	лебедеві	labuť	лебідь	DAT;N;SG
labute	лебеді	labuť	лебідь	N;NOM;PL
labuť	лебідь	labuť	лебідь	N;NOM;SG
labuťou	лебедем	labuť	лебідь	INS;N;SG
labute	лебеді	labuť	лебідь	ACC;N;PL
mamy	мами	mama	мама	N;NOM;PL
mám	мам	mama	мама	GEN;N;PL
mamy	мам	mama	мама	ACC;N;PL
mamami	мамами	mama	мама	INS;N;PL
mamách	мамах	mama	мама	ESS;N;PL
mama	мама	mama	мама	N;NOM;SG
mamám	мамам	mama	мама	DAT;N;PL
mame	мамі	mama	мама	DAT;N;SG
mamy	мами	mama	мама	GEN;N;SG
mamu	маму	mama	мама	ACC;N;SG
mamou	мамою	mama	мама	INS;N;SG
mame	мамі	mama	мама	ESS;N;SG
matky	мами	matka	мама	N;NOM;PL
matkám	мамам	matka	мама	DAT;N;PL
matke	мамі	matka	мама	ESS;N;SG
matkách	мамах	matka	мама	ESS;N;PL
matkami	мамами	matka	мама	INS;N;PL
matky	мами	matka	мама	GEN;N;SG
matka	мама	matka	мама	N;NOM;SG
matky	мам	matka	мама	ACC;N;PL
matke	мамі	matka	мама	DAT;N;SG
matkou	мамою	matka	мама	INS;N;SG
matiek	мам	matka	мама	GEN;N;PL
matku	маму	matka	мама	ACC;N;SG
mačke	котові	mačka	кіт	DAT;N;SG
mačiek	котів	mačka	кіт	GEN;N;PL
mačky	коти	mačka	кіт	ACC;N;PL
mačkám	котам	mačka	кіт	DAT;N;PL
mačka	кіт	mačka	кіт	N;NOM;SG
mačky	кота	mačka	кіт	GEN;N;SG
mačku	кота	mačka	кіт	ACC;N;SG
mačke	котові	mačka	кіт	ESS;N;SG
mačkami	котами	mačka	кіт	INS;N;PL
mačkách	котах	mačka	кіт	ESS;N;PL
mačky	коти	mačka	кіт	N;NOM;PL
mačkou	котом	mačka	кіт	INS;N;SG
mačkami	кішками	mačka	кішка	INS;N;PL
mačkám	кішкам	mačka	кішка	DAT;N;PL
mačky	кішки	mačka	кішка	GEN;N;SG
mačku	кішку	mačka	кішка	ACC;N;SG
mačkách	кішках	mačka	кішка	ESS;N;PL
mačka	кішка	mačka	кішка	N;NOM;SG
mačiek	кішок	mačka	кішка	GEN;N;PL
mačky	кішки	mačka	кішка	N;NOM;PL
mačkou	кішкою	mačka	кішка	INS;N;SG
mačky	кішки	mačka	кішка	ACC;N;PL
mačke	кішці	mačka	кішка	ESS;N;SG
mačke	кішці	mačka	кішка	DAT;N;SG
medveďov	ведмедів	medveď	ведмідь	GEN;N;PL
medveďom	ведмедем	medveď	ведмідь	INS;N;SG
medveďa	ведмедя	medveď	ведмідь	GEN;N;SG
medveď	ведмідь	medveď	ведмідь	N;NOM;SG
medveďoch	ведмедях	medveď	ведмідь	ESS;N;PL
medveďa	ведмедя	medveď	ведмідь	ACC;N;SG
medvede	ведмеді	medveď	ведмідь	N;NOM;PL
medveďu	ведмедеві	medveď	ведмідь	DAT;N;SG
medvedi	ведмедеві	medveď	ведмідь	ESS;N;SG
medveďom	ведмедям	medveď	ведмідь	DAT;N;PL
medvede	ведмеді	medveď	ведмідь	ACC;N;PL
medveďmi	ведмедями	medveď	ведмідь	INS;N;PL
mesto	місто	mesto	місто	ACC;N;SG
miest	міст	mesto	місто	GEN;N;PL
mestu	місту	mesto	місто	DAT;N;SG
mesto	місто	mesto	місто	N;NOM;SG
mestá	міста	mesto	місто	N;NOM;PL
mestá	міста	mesto	місто	ACC;N;PL
mestom	містом	mesto	місто	INS;N;SG
mesta	міста	mesto	місто	GEN;N;SG
meste	місті	mesto	місто	ESS;N;SG
mestami	містами	mesto	місто	INS;N;PL
mestách	містах	mesto	місто	ESS;N;PL
mestám	містам	mesto	місто	DAT;N;PL
mečov	мечів	meč	меч	GEN;N;PL
mečom	мечам	meč	меч	DAT;N;PL
mečmi	мечами	meč	меч	INS;N;PL
mečom	мечем	meč	меч	INS;N;SG
meče	мечі	meč	меч	ACC;N;PL
meča	меча	meč	меч	GEN;N;SG
meču	мечу	meč	меч	DAT;N;SG
meče	мечі	meč	меч	N;NOM;PL
meči	мечі	meč	меч	ESS;N;SG
meč	меч	meč	меч	N;NOM;SG
meč	меч	meč	меч	ACC;N;SG
mečoch	мечах	meč	меч	ESS;N;PL
meď	мідь	meď	мідь	N;NOM;SG
medi	міді	meď	мідь	ESS;N;SG
meď	мідь	meď	мідь	ACC;N;SG
medi	міді	meď	мідь	GEN;N;SG
meďou	міддю	meď	мідь	INS;N;SG
medi	міді	meď	мідь	DAT;N;SG
miesto	місце	miesto	місце	ACC;N;SG
miestami	місцями	miesto	місце	INS;N;PL
miesta	місця	miesto	місце	ACC;N;PL
miestach	місцях	miesto	місце	ESS;N;PL
miesta	місця	miesto	місце	N;NOM;PL
mieste	місці	miesto	місце	ESS;N;SG
miestu	місцю	miesto	місце	DAT;N;SG
miestom	місцем	miesto	місце	INS;N;SG
miesta	місця	miesto	місце	GEN;N;SG
miest	місць	miesto	місце	GEN;N;PL
miestam	місцям	miesto	місце	DAT;N;PL
miesto	місце	miesto	місце	N;NOM;SG
miesto	посада	miesto	посада	N;NOM;SG
miestu	посаді	miesto	посада	DAT;N;SG
miesta	посади	miesto	посада	ACC;N;PL
miestom	посадою	miesto	посада	INS;N;SG
miestach	посадах	miesto	посада	ESS;N;PL
miestami	посадами	miesto	посада	INS;N;PL
miest	посад	miesto	посада	GEN;N;PL
miestam	посадам	miesto	посада	DAT;N;PL
miesto	посаду	miesto	посада	ACC;N;SG
miesta	посади	miesto	посада	N;NOM;PL
miesta	посади	miesto	посада	GEN;N;SG
mieste	посаді	miesto	посада	ESS;N;SG
moriam	морям	more	море	DAT;N;PL
more	море	more	море	N;NOM;SG
moriach	морях	more	море	ESS;N;PL
morom	морем	more	море	INS;N;SG
mora	моря	more	море	GEN;N;SG
morí	морів	more	море	GEN;N;PL
moria	моря	more	море	N;NOM;PL
morami	морями	more	море	INS;N;PL
more	море	more	море	ACC;N;SG
mori	морі	more	море	ESS;N;SG
moru	морю	more	море	DAT;N;SG
moria	моря	more	море	ACC;N;PL
mosta	моста	most	міст	GEN;N;SG
mostu	мосту	most	міст	DAT;N;SG
most	міст	most	міст	N;NOM;SG
most	міст	most	міст	ACC;N;SG
mostov	мостів	most	міст	GEN;N;PL
mostami	мостами	most	міст	INS;N;PL
mostom	мостом	most	міст	INS;N;SG
mostoch	мостах	most	міст	ESS;N;PL
moste	мосту	most	міст	ESS;N;SG
mostom	мостам	most	міст	DAT;N;PL
mosty	мости	most	міст	ACC;N;PL
mosty	мости	most	міст	N;NOM;PL
mozgu	мозку	mozog	мозок	GEN;N;SG
mozgom	мізкам	mozog	мозок	DAT;N;PL
mozog	мозок	mozog	мозок	N;NOM;SG
mozgy	мізки	mozog	мозок	ACC;N;PL
mozgoch	мізках	mozog	мозок	ESS;N;PL
mozgu	мозку	mozog	мозок	ESS;N;SG
mozgom	мозком	mozog	мозок	INS;N;SG
mozgami	мізками	mozog	мозок	INS;N;PL
mozgov	мізків	mozog	мозок	GEN;N;PL
mozog	мозок	mozog	мозок	ACC;N;SG
mozgu	мозку	mozog	мозок	DAT;N;SG
mozgy	мізки	mozog	мозок	N;NOM;PL
mužovi	мужеві	muž	муж	DAT;N;SG
mužovi	мужеві	muž	муж	ESS;N;SG
mužoch	мужах	muž	муж	ESS;N;PL
mužov	мужів	muž	муж	ACC;N;PL
muži	мужі	muž	муж	N;NOM;PL
mužmi	мужами	muž	муж	INS;N;PL
muža	мужа	muž	муж	ACC;N;SG
muža	мужа	muž	муж	GEN;N;SG
mužom	мужем	muž	муж	INS;N;SG
mužov	мужів	muž	муж	GEN;N;PL
muž	муж	muž	муж	N;NOM;SG
mužom	мужам	muž	муж	DAT;N;PL
mužom	чоловікам	muž	чоловік	DAT;N;PL
mužoch	чоловіках	muž	чоловік	ESS;N;PL
mužov	чоловіків	muž	чоловік	ACC;N;PL
muža	чоловіка	muž	чоловік	GEN;N;SG
muža	чоловіка	muž	чоловік	ACC;N;SG
mužovi	чоловікові	muž	чоловік	ESS;N;SG
mužmi	чоловіками	muž	чоловік	INS;N;PL
mužovi	чоловікові	muž	чоловік	DAT;N;SG
muži	чоловіки	muž	чоловік	N;NOM;PL
muž	чоловік	muž	чоловік	N;NOM;SG
mužov	чоловіків	muž	чоловік	GEN;N;PL
mužom	чоловіком	muž	чоловік	INS;N;SG
myši	миші	myš	миша	DAT;N;SG
myši	миші	myš	миша	ACC;N;PL
myši	миші	myš	миша	ESS;N;SG
myší	мишей	myš	миша	GEN;N;PL
myšami	мишами	myš	миша	INS;N;PL
myšiam	мишам	myš	миша	DAT;N;PL
myši	миші	myš	миша	N;NOM;PL
myš	мишу	myš	миша	ACC;N;SG
myšiach	мишах	myš	миша	ESS;N;PL
myšou	мишею	myš	миша	INS;N;SG
myš	миша	myš	миша	N;NOM;SG
myši	миші	myš	миша	GEN;N;SG
múr	стіна	múr	стіна	N;NOM;SG
múr	стіну	múr	стіна	ACC;N;SG
múru	стіни	múr	стіна	GEN;N;SG
múry	стіни	múr	стіна	N;NOM;PL
múry	стіни	múr	стіна	ACC;N;PL
múroch	стінах	múr	стіна	ESS;N;PL
múru	стіні	múr	стіна	DAT;N;SG
múrom	стіною	múr	стіна	INS;N;SG
múrom	стінам	múr	стіна	DAT;N;PL
múrov	стін	múr	стіна	GEN;N;PL
múrmi	стінами	múr	стіна	INS;N;PL
múre	стіні	múr	стіна	ESS;N;SG
nakupovať	купити	nakupovať	купити	NFIN;V
nakúpiť	купити	nakúpiť	купити	NFIN;V
nedele	неділі	nedeľa	неділя	ACC;N;PL
nedeľu	неділю	nedeľa	неділя	ACC;N;SG
nedeliach	неділях	nedeľa	неділя	ESS;N;PL
nedele	неділі	nedeľa	неділя	N;NOM;PL
nedeľami	неділями	nedeľa	неділя	INS;N;PL
nedeľou	неділею	nedeľa	неділя	INS;N;SG
nedeliam	неділям	nedeľa	неділя	DAT;N;PL
nedeľa	неділя	nedeľa	неділя	N;NOM;SG
nedeli	неділі	nedeľa	неділя	DAT;N;SG
nedele	неділі	nedeľa	неділя	GEN;N;SG
nedieľ	неділь	nedeľa	неділя	GEN;N;PL
nedeli	неділі	nedeľa	неділя	ESS;N;SG
nohu	ногу	noha	нога	ACC;N;SG
noha	нога	noha	нога	N;NOM;SG
nohy	ноги	noha	нога	ACC;N;PL
nohe	нозі	noha	нога	ESS;N;SG
nohe	нозі	noha	нога	DAT;N;SG
nohách	ногах	noha	нога	ESS;N;PL
nohou	ногою	noha	нога	INS;N;SG
nohy	ноги	noha	нога	GEN;N;SG
nôh	ніг	noha	нога	GEN;N;PL
nohám	ногам	noha	нога	DAT;N;PL
nohami	ногами	noha	нога	INS;N;PL
nohy	ноги	noha	нога	N;NOM;PL
novín	газет	noviny	газета	GEN;N;PL
novinám	газетам	noviny	газета	DAT;N;PL
novinách	газетах	noviny	газета	ESS;N;PL
novinami	газетами	noviny	газета	INS;N;PL
noviny	газети	noviny	газета	ACC;N;PL
noviny	газети	noviny	газета	N;NOM;PL
nové	нових	nový	новий	ACC;ADJ;PL
novej	новій	nový	новий	ADJ;DAT;FEM;SG
nového	нового	nový	новий	ACC;ADJ;MASC;SG
novou	новою	nový	новий	ADJ;FEM;INS;SG
novej	новій	nový	новий	ADJ;ESS;FEM;SG
nového	нового	nový	новий	ADJ;GEN;MASC;SG
nové	нове	nový	новий	ADJ;NEUT;NOM;SG
novými	новими	nový	новий	ADJ;INS;PL
nové	нове	nový	новий	ACC;ADJ;NEUT;SG
nový	новий	nový	новий	ACC;ADJ;INAN;MASC;SG
nového	нового	nový	новий	ADJ;GEN;NEUT;SG
novú	нову	nový	новий	ACC;ADJ;FEM;SG
novému	новому	nový	новий	ADJ;DAT;NEUT;SG
novým	новим	nový	новий	ADJ;INS;MASC;SG
nových	нових	nový	новий	ADJ;GEN;PL
nových	нових	nový	новий	ADJ;ESS;PL
novým	новим	nový	новий	ADJ;DAT;PL
nový	новий	nový	новий	ADJ;MASC;NOM;SG
novému	новому	nový	новий	ADJ;DAT;MASC;SG
novom	новому	nový	новий	ADJ;ESS;MASC;SG
novej	нової	nový	новий	ADJ;FEM;GEN;SG
novom	новому	nový	новий	ADJ;ESS;NEUT;SG
nová	нова	nový	новий	ADJ;FEM;NOM;SG
nové	нові	nový	новий	ADJ;NOM;PL
novým	новим	nový	новий	ADJ;INS;NEUT;SG
návrhom	пропозиціям	návrh	пропозиція	DAT;N;PL
návrhmi	пропозиціями	návrh	пропозиція	INS;N;PL
návrhy	пропозиції	návrh	пропозиція	N;NOM;PL
návrhy	пропозиції	návrh	пропозиція	ACC;N;PL
návrh	пропозицію	návrh	пропозиція	ACC;N;SG
návrhov	пропозицій	návrh	пропозиція	GEN;N;PL
návrhu	пропозиції	návrh	пропозиція	ESS;N;SG
návrhu	пропозиції	návrh	пропозиція	GEN;N;SG
návrh	пропозиція	návrh	пропозиція	N;NOM;SG
návrhu	пропозиції	návrh	пропозиція	DAT;N;SG
návrhom	пропозицією	návrh	пропозиція	INS;N;SG
návrhoch	пропозиціях	návrh	пропозиція	ESS;N;PL
nožom	ножем	nôž	ніж	INS;N;SG
noži	ножі	nôž	ніж	ESS;N;SG
nože	ножі	nôž	ніж	N;NOM;PL
nôž	ніж	nôž	ніж	N;NOM;SG
nožmi	ножами	nôž	ніж	INS;N;PL
nožoch	ножах	nôž	ніж	ESS;N;PL
nožov	ножів	nôž	ніж	GEN;N;PL
nôž	ніж	nôž	ніж	ACC;N;SG
noža	ножа	nôž	ніж	GEN;N;SG
nožom	ножам	nôž	ніж	DAT;N;PL
nože	ножі	nôž	ніж	ACC;N;PL
nožu	ножу	nôž	ніж	DAT;N;SG
oblastí	областей	oblasť	область	GEN;N;PL
oblasť	область	oblasť	область	ACC;N;SG
oblastiam	областям	oblasť	область	DAT;N;PL
oblasti	області	oblasť	область	GEN;N;SG
oblasťou	областю	oblasť	область	INS;N;SG
oblasti	області	oblasť	область	ESS;N;SG
oblasti	області	oblasť	область	DAT;N;SG
oblastiach	областях	oblasť	область	ESS;N;PL
oblasti	області	oblasť	область	N;NOM;PL
oblasťami	областями	oblasť	область	INS;N;PL
oblasť	область	oblasť	область	N;NOM;SG
oblasti	області	oblasť	область	ACC;N;PL
odvoávať	скасувати	odvoávať	скасувати	NFIN;V
orlov	орлів	orol	орел	GEN;N;PL
orla	орла	orol	орел	GEN;N;SG
orlom	орлам	orol	орел	DAT;N;PL
orlovi	орлові	orol	орел	DAT;N;SG
orlom	орлом	orol	орел	INS;N;SG
orloch	орлах	orol	орел	ESS;N;PL
orlovi	орлові	orol	орел	ESS;N;SG
orly	орли	orol	орел	ACC;N;PL
orly	орли	orol	орел	N;NOM;PL
orlami	орлами	orol	орел	INS;N;PL
orla	орла	orol	орел	ACC;N;SG
orol	орел	orol	орел	N;NOM;SG
osobám	людям	osoba	людина	DAT;N;PL
osobu	людину	osoba	людина	ACC;N;SG
osobami	людьми	osoba	людина	INS;N;PL
osoba	людина	osoba	людина	N;NOM;SG
osobou	людиною	osoba	людина	INS;N;SG
osoby	людей	osoba	людина	ACC;N;PL
osoby	людини	osoba	людина	GEN;N;SG
osoby	люди	osoba	людина	N;NOM;PL
osobách	людях	osoba	людина	ESS;N;PL
osobe	людині	osoba	людина	ESS;N;SG
osobe	людині	osoba	людина	DAT;N;SG
osôb	людей	osoba	людина	GEN;N;PL
osobami	особами	osoba	особа	INS;N;PL
osobe	особі	osoba	особа	ESS;N;SG
osobu	особу	osoba	особа	ACC;N;SG
osoby	осіб	osoba	особа	ACC;N;PL
osobách	особах	osoba	особа	ESS;N;PL
osobou	особою	osoba	особа	INS;N;SG
osobe	особі	osoba	особа	DAT;N;SG
osoby	особи	osoba	особа	GEN;N;SG
osoby	особи	osoba	особа	N;NOM;PL
osobám	особам	osoba	особа	DAT;N;PL
osoba	особа	osoba	особа	N;NOM;SG
osôb	осіб	osoba	особа	GEN;N;PL
osobou	чоловіком	osoba	чоловік	INS;N;SG
osoby	чоловіків	osoba	чоловік	ACC;N;PL
osobu	чоловіка	osoba	чоловік	ACC;N;SG
osoby	чоловіка	osoba	чоловік	GEN;N;SG
osobe	чоловікові	osoba	чоловік	DAT;N;SG
osobami	чоловіками	osoba	чоловік	INS;N;PL
osobách	чоловіках	osoba	чоловік	ESS;N;PL
osoby	чоловіки	osoba	чоловік	N;NOM;PL
osobe	чоловікові	osoba	чоловік	ESS;N;SG
osoba	чоловік	osoba	чоловік	N;NOM;SG
osobám	чоловікам	osoba	чоловік	DAT;N;PL
osôb	чоловіків	osoba	чоловік	GEN;N;PL
ostrove	острові	ostrov	острів	ESS;N;SG
ostrov	острів	ostrov	острів	ACC;N;SG
ostrovov	островів	ostrov	острів	GEN;N;PL
ostrovy	острови	ostrov	острів	N;NOM;PL
ostrovu	острову	ostrov	острів	DAT;N;SG
ostrov	острів	ostrov	острів	N;NOM;SG
ostrovy	острови	ostrov	острів	ACC;N;PL
ostrovom	островом	ostrov	острів	INS;N;SG
ostrova	острова	ostrov	острів	GEN;N;SG
ostrovmi	островами	ostrov	острів	INS;N;PL
ostrovom	островам	ostrov	острів	DAT;N;PL
ostrovoch	островах	ostrov	острів	ESS;N;PL
papagájom	папугам	papagáj	папуга	DAT;N;PL
papagájovi	папузі	papagáj	папуга	DAT;N;SG
papagáje	папуги	papagáj	папуга	N;NOM;PL
papagájovi	папузі	papagáj	папуга	ESS;N;SG
papagája	папугу	papagáj	папуга	ACC;N;SG
papagájmi	папугами	papagáj	папуга	INS;N;PL
papagáje	папуги	papagáj	папуга	ACC;N;PL
papagájoch	папугах	papagáj	папуга	ESS;N;PL
papagája	папуги	papagáj	папуга	GEN;N;SG
papagájom	папугою	papagáj	папуга	INS;N;SG
papagáj	папуга	papagáj	папуга	N;NOM;SG
papagájov	папуг	papagáj	папуга	GEN;N;PL
pes	пес	pes	пес	N;NOM;SG
psoch	псах	pes	пес	ESS;N;PL
psovi	псові	pes	пес	ESS;N;SG
psi	пси	pes	пес	N;NOM;PL
psa	пса	pes	пес	GEN;N;SG
psom	псом	pes	пес	INS;N;SG
psov	псів	pes	пес	GEN;N;PL
psov	пси	pes	пес	ACC;N;PL
psom	псам	pes	пес	DAT;N;PL
psovi	псові	pes	пес	DAT;N;SG
psa	пса	pes	пес	ACC;N;SG
psami	псами	pes	пес	INS;N;PL
piesniam	пісням	pieseň	пісня	DAT;N;PL
piesni	пісні	pieseň	пісня	DAT;N;SG
piesne	пісні	pieseň	пісня	GEN;N;SG
piesne	пісні	pieseň	пісня	ACC;N;PL
piesniach	піснях	pieseň	пісня	ESS;N;PL
piesňou	піснею	pieseň	пісня	INS;N;SG
piesne	пісні	pieseň	пісня	N;NOM;PL
pieseň	пісню	pieseň	пісня	ACC;N;SG
piesňami	піснями	pieseň	пісня	INS;N;PL
pieseň	пісня	pieseň	пісня	N;NOM;SG
piesní	пісень	pieseň	пісня	GEN;N;PL
piesni	пісні	pieseň	пісня	ESS;N;SG
pizdu	пизду	pizda	пизда	ACC;N;SG
pizdou	пиздою	pizda	пизда	INS;N;SG
pízd	пизд	pizda	пизда	GEN;N;PL
pizda	пизда	pizda	пизда	N;NOM;SG
pizdy	пизди	pizda	пизда	GEN;N;SG
pizde	пизду	pizda	пизда	ESS;N;SG
pizde	пизді	pizda	пизда	DAT;N;SG
piču	пизду	piča	пизда	ACC;N;SG
piče	пизди	piča	пизда	GEN;N;SG
piča	пизда	piča	пизда	N;NOM;SG
piči	пизді	piča	пизда	DAT;N;SG
píč	пизд	piča	пизда	GEN;N;PL
piči	пизду	piča	пизда	ESS;N;SG
pičou	пиздою	piča	пизда	INS;N;SG
plyny	гази	plyn	газ	ACC;N;PL
plynov	газів	plyn	газ	GEN;N;PL
plynom	газам	plyn	газ	DAT;N;PL
plynu	газу	plyn	газ	GEN;N;SG
plynom	газом	plyn	газ	INS;N;SG
plyny	гази	plyn	газ	N;NOM;PL
plynmi	газами	plyn	газ	INS;N;PL
