abdikovať	отречься	abdikovať	отречься	NFIN;V
dlhému	длинному	dlhý	длинный	ADJ;DAT;NEUT;SG
dlhé	длинное	dlhý	длинный	ACC;ADJ;NEUT;SG
dlhej	длинной	dlhý	длинный	ADJ;FEM;GEN;SG
dlhým	длинным	dlhý	длинный	ADJ;DAT;PL
dlhých	длинных	dlhý	длинный	ADJ;GEN;PL
dlhou	длинной	dlhý	длинный	ADJ;FEM;INS;SG
dlhé	длинные	dlhý	длинный	ADJ;NOM;PL
dlhá	длинная	dlhý	длинный	ADJ;FEM;NOM;SG
dlhým	длинным	dlhý	длинный	ADJ;INS;NEUT;SG
dlhé	длинных	dlhý	длинный	ACC;ADJ;PL
dlhé	длинное	dlhý	длинный	ADJ;NEUT;NOM;SG
dlhého	длинного	dlhý	длинный	ACC;ADJ;MASC;SG
dlhého	длинного	dlhý	длинный	ADJ;GEN;MASC;SG
dlhú	длинную	dlhý	длинный	ACC;ADJ;FEM;SG
dlhými	длинными	dlhý	длинный	ADJ;INS;PL
dlhému	длинному	dlhý	длинный	ADJ;DAT;MASC;SG
dlhý	длинный	dlhý	длинный	ACC;ADJ;INAN;MASC;SG
dlhého	длинного	dlhý	длинный	ADJ;GEN;NEUT;SG
dlhej	долгой	dlhý	долгий	ADJ;DAT;FEM;SG
dlhom	долгом	dlhý	долгий	ADJ;ESS;NEUT;SG
dlhé	долгое	dlhý	долгий	ACC;ADJ;NEUT;SG
dlhému	долгому	dlhý	долгий	ADJ;DAT;NEUT;SG
dlhé	долгие	dlhý	долгий	ADJ;NOM;PL
dlhým	долгим	dlhý	долгий	ADJ;INS;MASC;SG
dlhom	долгом	dlhý	долгий	ADJ;ESS;MASC;SG
dlhou	долгой	dlhý	долгий	ADJ;FEM;INS;SG
dlhej	долгой	dlhý	долгий	ADJ;ESS;FEM;SG
dlhým	долгим	dlhý	долгий	ADJ;DAT;PL
dlhú	долгую	dlhý	долгий	ACC;ADJ;FEM;SG
dlhými	долгими	dlhý	долгий	ADJ;INS;PL
dlhé	долгое	dlhý	долгий	ADJ;NEUT;NOM;SG
dlhej	долгой	dlhý	долгий	ADJ;FEM;GEN;SG
dlhých	долгих	dlhý	долгий	ADJ;ESS;PL
dlhá	долгая	dlhý	долгий	ADJ;FEM;NOM;SG
dlhé	долгих	dlhý	долгий	ACC;ADJ;PL
dlhého	долгого	dlhý	долгий	ADJ;GEN;MASC;SG
dlhý	долгий	dlhý	долгий	ADJ;MASC;NOM;SG
dlhému	долгому	dlhý	долгий	ADJ;DAT;MASC;SG
dlhý	долгий	dlhý	долгий	ACC;ADJ;INAN;MASC;SG
dlhého	долгого	dlhý	долгий	ADJ;GEN;NEUT;SG
dlhým	долгим	dlhý	долгий	ADJ;INS;NEUT;SG
dlhého	долгого	dlhý	долгий	ACC;ADJ;MASC;SG
dlhých	долгих	dlhý	долгий	ADJ;GEN;PL
dlhu	задолженности	dlh	задолженность	GEN;N;SG
dlhy	задолженности	dlh	задолженность	ACC;N;PL
dlhmi	задолженностями	dlh	задолженность	INS;N;PL
dlh	задолженность	dlh	задолженность	N;NOM;SG
dlhom	задолженностям	dlh	задолженность	DAT;N;PL
dlhov	задолженностей	dlh	задолженность	GEN;N;PL
dlhoch	задолженностях	dlh	задолженность	ESS;N;PL
dlh	задолженность	dlh	задолженность	ACC;N;SG
dlhu	задолженности	dlh	задолженность	ESS;N;SG
dlhy	задолженности	dlh	задолженность	N;NOM;PL
dlhom	задолженностью	dlh	задолженность	INS;N;SG
dlhu	задолженности	dlh	задолженность	DAT;N;SG
dlhom	обязательством	dlh	обязательство	INS;N;SG
dlhom	обязательствам	dlh	обязательство	DAT;N;PL
dlh	обязательство	dlh	обязательство	ACC;N;SG
dlhu	обязательству	dlh	обязательство	DAT;N;SG
dlhoch	обязательствах	dlh	обязательство	ESS;N;PL
dlh	обязательство	dlh	обязательство	N;NOM;SG
dlhmi	обязательствами	dlh	обязательство	INS;N;PL
dlhov	обязательств	dlh	обязательство	GEN;N;PL
dlhy	обязательства	dlh	обязательство	N;NOM;PL
dlhu	обязательстве	dlh	обязательство	ESS;N;SG
dlhu	обязательства	dlh	обязательство	GEN;N;SG
dláždiť	вымостить	dláždiť	вымостить	NFIN;V
dobiehať	наверстать	dobiehať	наверстать	NFIN;V
dobiehať	нагнать	dobiehať	нагнать	NFIN;V
dodržať	соблюсти	dodržať	соблюсти	NFIN;V
dodržiavať	соблюсти	dodržiavať	соблюсти	NFIN;V
dohnať	наверстать	dohnať	наверстать	NFIN;V
dohnať	нагнать	dohnať	нагнать	NFIN;V
doháňať	наверстать	doháňať	наверстать	NFIN;V
doháňať	нагнать	doháňať	нагнать	NFIN;V
dojať	взволновать	dojať	взволновать	NFIN;V
dojať	растрогать	dojať	растрогать	NFIN;V
dojímať	взволновать	dojímať	взволновать	NFIN;V
dojímať	растрогать	dojímať	растрогать	NFIN;V
dokazovať	продемонстрировать	dokazovať	продемонстрировать	NFIN;V
donucovať	обязать	donucovať	обязать	NFIN;V
donucovať	принудить	donucovať	принудить	NFIN;V
doporučovať	повысить	doporučovať	повысить	NFIN;V
dopravovať	перевезти	dopravovať	перевезти	NFIN;V
dosadiť	возложить	dosadiť	возложить	NFIN;V
dostať	получить	dostať	получить	NFIN;V
dostávať	получить	dostávať	получить	NFIN;V
dovolenky	отпуска	dovolenka	отпуск	N;NOM;PL
dovolenkou	отпуском	dovolenka	отпуск	INS;N;SG
dovolenke	отпуску	dovolenka	отпуск	DAT;N;SG
dovolenku	отпуск	dovolenka	отпуск	ACC;N;SG
dovoleniek	отпусков	dovolenka	отпуск	GEN;N;PL
dovolenkách	отпусках	dovolenka	отпуск	ESS;N;PL
dovolenkám	отпускам	dovolenka	отпуск	DAT;N;PL
dovolenky	отпуска	dovolenka	отпуск	GEN;N;SG
dovolenke	отпуске	dovolenka	отпуск	ESS;N;SG
dovolenkami	отпусками	dovolenka	отпуск	INS;N;PL
dovolenka	отпуск	dovolenka	отпуск	N;NOM;SG
dovoliť	пустить	dovoliť	пустить	NFIN;V
dovoľovať	пустить	dovoľovať	пустить	NFIN;V
dovážať	ввезти	dovážať	ввезти	NFIN;V
dozrievať	созреть	dozrievať	созреть	NFIN;V
dozrieť	созреть	dozrieť	созреть	NFIN;V
drať	разорвать	drať	разорвать	NFIN;V
drbať	выебать	drbať	выебать	NFIN;V
drevo	древесина	drevo	древесина	N;NOM;SG
drevom	древесиной	drevo	древесина	INS;N;SG
drevo	древесину	drevo	древесина	ACC;N;SG
dreva	древесины	drevo	древесина	GEN;N;SG
drevami	древесинами	drevo	древесина	INS;N;PL
drevám	древесинам	drevo	древесина	DAT;N;PL
drevá	древесины	drevo	древесина	ACC;N;PL
drevách	древесинах	drevo	древесина	ESS;N;PL
driev	древесин	drevo	древесина	GEN;N;PL
dreve	древесине	drevo	древесина	ESS;N;SG
drevá	древесины	drevo	древесина	N;NOM;PL
drevu	древесине	drevo	древесина	DAT;N;SG
drhnúť	задушить	drhnúť	задушить	NFIN;V
drviť	разложиться	drviť	разложиться	NFIN;V
dumať	обдумать	dumať	обдумать	NFIN;V
dusiť	задушить	dusiť	задушить	NFIN;V
dusiť	подавить	dusiť	подавить	NFIN;V
duše	привидения	duša	привидение	ACC;N;PL
dušiach	привидениях	duša	привидение	ESS;N;PL
duše	привидения	duša	привидение	N;NOM;PL
dušou	привидением	duša	привидение	INS;N;SG
dušiam	привидениям	duša	привидение	DAT;N;PL
duša	привидение	duša	привидение	N;NOM;SG
duši	привидении	duša	привидение	ESS;N;SG
duše	привидения	duša	привидение	GEN;N;SG
dušami	привидениями	duša	привидение	INS;N;PL
dušu	привидение	duša	привидение	ACC;N;SG
duši	привидению	duša	привидение	DAT;N;SG
duší	привидений	duša	привидение	GEN;N;PL
dažďom	дождём	dážď	дождь	INS;N;SG
dažďu	дождю	dážď	дождь	DAT;N;SG
dažďom	дождям	dážď	дождь	DAT;N;PL
daždi	дожде	dážď	дождь	ESS;N;SG
dažďoch	дождях	dážď	дождь	ESS;N;PL
dažďami	дождями	dážď	дождь	INS;N;PL
dažďov	дождей	dážď	дождь	GEN;N;PL
dážď	дождь	dážď	дождь	N;NOM;SG
dažde	дожди	dážď	дождь	N;NOM;PL
dážď	дождь	dážď	дождь	ACC;N;SG
dažďa	дождя	dážď	дождь	GEN;N;SG
dôverovať	положиться	dôverovať	положиться	NFIN;V
dýchnuť	выдохнуть	dýchnuť	выдохнуть	NFIN;V
dĺžky	длины	dĺžka	длина	ACC;N;PL
dĺžkam	длинам	dĺžka	длина	DAT;N;PL
dĺžke	длине	dĺžka	длина	ESS;N;SG
dĺžku	длину	dĺžka	длина	ACC;N;SG
dĺžkach	длинах	dĺžka	длина	ESS;N;PL
dĺžok	длин	dĺžka	длина	GEN;N;PL
dĺžky	длины	dĺžka	длина	N;NOM;PL
dĺžka	длина	dĺžka	длина	N;NOM;SG
dĺžkami	длинами	dĺžka	длина	INS;N;PL
dĺžky	длины	dĺžka	длина	GEN;N;SG
dĺžke	длине	dĺžka	длина	DAT;N;SG
dĺžkou	длиной	dĺžka	длина	INS;N;SG
dĺžka	длительность	dĺžka	длительность	N;NOM;SG
dĺžkam	длительностям	dĺžka	длительность	DAT;N;PL
dĺžku	длительность	dĺžka	длительность	ACC;N;SG
dĺžkami	длительностями	dĺžka	длительность	INS;N;PL
dĺžke	длительности	dĺžka	длительность	DAT;N;SG
dĺžok	длительностей	dĺžka	длительность	GEN;N;PL
dĺžky	длительности	dĺžka	длительность	ACC;N;PL
dĺžkou	длительностью	dĺžka	длительность	INS;N;SG
dĺžky	длительности	dĺžka	длительность	N;NOM;PL
dĺžkach	длительностях	dĺžka	длительность	ESS;N;PL
dĺžke	длительности	dĺžka	длительность	ESS;N;SG
dĺžky	длительности	dĺžka	длительность	GEN;N;SG
dĺžka	продолжительность	dĺžka	продолжительность	N;NOM;SG
dĺžku	продолжительность	dĺžka	продолжительность	ACC;N;SG
dĺžke	продолжительности	dĺžka	продолжительность	ESS;N;SG
dĺžkam	продолжительностям	dĺžka	продолжительность	DAT;N;PL
dĺžkami	продолжительностями	dĺžka	продолжительность	INS;N;PL
dĺžky	продолжительности	dĺžka	продолжительность	GEN;N;SG
dĺžok	продолжительностей	dĺžka	продолжительность	GEN;N;PL
dĺžkach	продолжительностях	dĺžka	продолжительность	ESS;N;PL
dĺžke	продолжительности	dĺžka	продолжительность	DAT;N;SG
dĺžky	продолжительности	dĺžka	продолжительность	N;NOM;PL
dĺžkou	продолжительностью	dĺžka	продолжительность	INS;N;SG
električku	трамвай	električka	трамвай	ACC;N;SG
električke	трамвае	električka	трамвай	ESS;N;SG
električiek	трамваев	električka	трамвай	GEN;N;PL
električkami	трамваями	električka	трамвай	INS;N;PL
električkou	трамваем	električka	трамвай	INS;N;SG
električka	трамвай	električka	трамвай	N;NOM;SG
električky	трамвая	električka	трамвай	GEN;N;SG
električkám	трамваям	električka	трамвай	DAT;N;PL
električky	трамваи	električka	трамвай	N;NOM;PL
električke	трамваю	električka	трамвай	DAT;N;SG
električkách	трамваях	električka	трамвай	ESS;N;PL
erbiom	эрбием	erbium	эрбий	INS;N;SG
erbiu	эрбии	erbium	эрбий	ESS;N;SG
erbium	эрбий	erbium	эрбий	N;NOM;SG
erbia	эрбия	erbium	эрбий	GEN;N;SG
erbium	эрбий	erbium	эрбий	ACC;N;SG
erbiu	эрбию	erbium	эрбий	DAT;N;SG
erbom	гербам	erb	герб	DAT;N;PL
erby	гербы	erb	герб	N;NOM;PL
erbu	герба	erb	герб	GEN;N;SG
erboch	гербах	erb	герб	ESS;N;PL
erbe	гербе	erb	герб	ESS;N;SG
erb	герб	erb	герб	ACC;N;SG
erbmi	гербами	erb	герб	INS;N;PL
erbu	гербу	erb	герб	DAT;N;SG
erb	герб	erb	герб	N;NOM;SG
erbov	гербов	erb	герб	GEN;N;PL
erbom	гербом	erb	герб	INS;N;SG
európske	европейское	európsky	европейский	ADJ;NEUT;NOM;SG
európskeho	европейского	európsky	европейский	ADJ;GEN;MASC;SG
európskym	европейским	európsky	европейский	ADJ;INS;NEUT;SG
európsky	европейский	európsky	европейский	ADJ;MASC;NOM;SG
európsky	европейский	európsky	европейский	ACC;ADJ;INAN;MASC;SG
európska	европейская	európsky	европейский	ADJ;FEM;NOM;SG
európskeho	европейского	európsky	европейский	ADJ;GEN;NEUT;SG
európskemu	европейскому	európsky	европейский	ADJ;DAT;MASC;SG
európskej	европейской	európsky	европейский	ADJ;DAT;FEM;SG
európskym	европейским	európsky	европейский	ADJ;INS;MASC;SG
európskemu	европейскому	európsky	европейский	ADJ;DAT;NEUT;SG
európskej	европейской	európsky	европейский	ADJ;ESS;FEM;SG
európske	европейские	európsky	европейский	ADJ;NOM;PL
európskou	европейской	európsky	европейский	ADJ;FEM;INS;SG
európskeho	европейского	európsky	европейский	ACC;ADJ;MASC;SG
európskych	европейских	európsky	европейский	ADJ;GEN;PL
európsku	европейскую	európsky	европейский	ACC;ADJ;FEM;SG
európskom	европейском	európsky	европейский	ADJ;ESS;NEUT;SG
európskymi	европейскими	európsky	европейский	ADJ;INS;PL
európskom	европейском	európsky	европейский	ADJ;ESS;MASC;SG
európske	европейских	európsky	европейский	ACC;ADJ;PL
európske	европейское	európsky	европейский	ACC;ADJ;NEUT;SG
európskych	европейских	európsky	европейский	ADJ;ESS;PL
európskym	европейским	európsky	европейский	ADJ;DAT;PL
európskej	европейской	európsky	европейский	ADJ;FEM;GEN;SG
fagotom	фаготом	fagot	фагот	INS;N;SG
fagot	фагот	fagot	фагот	N;NOM;SG
fagotom	фаготам	fagot	фагот	DAT;N;PL
fagotu	фаготу	fagot	фагот	DAT;N;SG
fagotmi	фаготами	fagot	фагот	INS;N;PL
fagote	фаготе	fagot	фагот	ESS;N;SG
fagoty	фаготы	fagot	фагот	N;NOM;PL
fagotu	фагота	fagot	фагот	GEN;N;SG
fagotoch	фаготах	fagot	фагот	ESS;N;PL
fagoty	фаготы	fagot	фагот	ACC;N;PL
fagot	фагот	fagot	фагот	ACC;N;SG
fagotov	фаготов	fagot	фагот	GEN;N;PL
fajkám	люлькам	fajka	люлька	DAT;N;PL
fajke	люльке	fajka	люлька	DAT;N;SG
fajky	люльки	fajka	люлька	GEN;N;SG
fajkou	люлькой	fajka	люлька	INS;N;SG
fajka	люлька	fajka	люлька	N;NOM;SG
fajkami	люльками	fajka	люлька	INS;N;PL
fajok	люлек	fajka	люлька	GEN;N;PL
fajky	люльки	fajka	люлька	ACC;N;PL
fajku	люльку	fajka	люлька	ACC;N;SG
fajkách	люльках	fajka	люлька	ESS;N;PL
fajke	люльке	fajka	люлька	ESS;N;SG
fajky	люльки	fajka	люлька	N;NOM;PL
fajok	отсосов	fajka	отсос	GEN;N;PL
fajkou	отсосом	fajka	отсос	INS;N;SG
fajku	отсос	fajka	отсос	ACC;N;SG
fajkami	отсосами	fajka	отсос	INS;N;PL
fajkám	отсосам	fajka	отсос	DAT;N;PL
fajke	отсосе	fajka	отсос	ESS;N;SG
fajkách	отсосах	fajka	отсос	ESS;N;PL
fajky	отсосы	fajka	отсос	N;NOM;PL
fajky	отсосы	fajka	отсос	ACC;N;PL
fajky	отсоса	fajka	отсос	GEN;N;SG
fajke	отсосу	fajka	отсос	DAT;N;SG
fajka	отсос	fajka	отсос	N;NOM;SG
fajka	трубка	fajka	трубка	N;NOM;SG
fajkami	трубками	fajka	трубка	INS;N;PL
fajky	трубки	fajka	трубка	GEN;N;SG
fajkách	трубках	fajka	трубка	ESS;N;PL
fajkou	трубкой	fajka	трубка	INS;N;SG
fajkám	трубкам	fajka	трубка	DAT;N;PL
fajky	трубки	fajka	трубка	N;NOM;PL
fajku	трубку	fajka	трубка	ACC;N;SG
fajke	трубке	fajka	трубка	DAT;N;SG
fajok	трубок	fajka	трубка	GEN;N;PL
fajke	трубке	fajka	трубка	ESS;N;SG
fašizmu	фашизмам	fašizmus	фашизм	DAT;N;PL
fašizme	фашизмах	fašizmus	фашизм	ESS;N;PL
fašizmus	фашизмы	fašizmus	фашизм	N;NOM;PL
fašizmus	фашизмы	fašizmus	фашизм	ACC;N;PL
fašizmum	фашизмами	fašizmus	фашизм	INS;N;PL
fašizmu	фашизмов	fašizmus	фашизм	GEN;N;PL
fermiu	фермию	fermium	фермий	DAT;N;SG
fermia	фермия	fermium	фермий	GEN;N;SG
fermium	фермий	fermium	фермий	ACC;N;SG
fermium	фермий	fermium	фермий	N;NOM;SG
fermiom	фермием	fermium	фермий	INS;N;SG
fermiu	фермии	fermium	фермий	ESS;N;SG
feudalizmmi	феодализмами	feudalizmus	феодализм	INS;N;PL
feudalizmus	феодализм	feudalizmus	феодализм	N;NOM;SG
feudalizmom	феодализмом	feudalizmus	феодализм	INS;N;SG
feudalizmy	феодализмы	feudalizmus	феодализм	ACC;N;PL
feudalizme	феодализме	feudalizmus	феодализм	ESS;N;SG
feudalizmoch	феодализмах	feudalizmus	феодализм	ESS;N;PL
feudalizmus	феодализм	feudalizmus	феодализм	ACC;N;SG
feudalizmu	феодализму	feudalizmus	феодализм	DAT;N;SG
feudalizmy	феодализмы	feudalizmus	феодализм	N;NOM;PL
feudalizmu	феодализма	feudalizmus	феодализм	GEN;N;SG
feudalizmov	феодализмов	feudalizmus	феодализм	GEN;N;PL
feudalizmom	феодализмам	feudalizmus	феодализм	DAT;N;PL
fluóru	фтора	fluór	фтор	GEN;N;SG
fluóru	фтору	fluór	фтор	DAT;N;SG
fluórom	фтором	fluór	фтор	INS;N;SG
fluóre	фторе	fluór	фтор	ESS;N;SG
fluór	фтор	fluór	фтор	ACC;N;SG
fluór	фтор	fluór	фтор	N;NOM;SG
fotiť	снять	fotiť	снять	NFIN;V
fotogenickej	фотогеничной	fotogenický	фотогеничный	ADJ;DAT;FEM;SG
fotogenického	фотогеничного	fotogenický	фотогеничный	ADJ;GEN;MASC;SG
fotogenickými	фотогеничными	fotogenický	фотогеничный	ADJ;INS;PL
fotogenickom	фотогеничном	fotogenický	фотогеничный	ADJ;ESS;NEUT;SG
fotogenickým	фотогеничным	fotogenický	фотогеничный	ADJ;DAT;PL
fotogenického	фотогеничного	fotogenický	фотогеничный	ACC;ADJ;MASC;SG
fotogenickým	фотогеничным	fotogenický	фотогеничный	ADJ;INS;MASC;SG
fotogenické	фотогеничных	fotogenický	фотогеничный	ACC;ADJ;PL
fotogenickému	фотогеничному	fotogenický	фотогеничный	ADJ;DAT;NEUT;SG
fotogenickému	фотогеничному	fotogenický	фотогеничный	ADJ;DAT;MASC;SG
fotogenický	фотогеничный	fotogenický	фотогеничный	ADJ;MASC;NOM;SG
fotogenická	фотогеничная	fotogenický	фотогеничный	ADJ;FEM;NOM;SG
fotogenického	фотогеничного	fotogenický	фотогеничный	ADJ;GEN;NEUT;SG
fotogenickej	фотогеничной	fotogenický	фотогеничный	ADJ;FEM;GEN;SG
fotogenických	фотогеничных	fotogenický	фотогеничный	ADJ;ESS;PL
fotogenickým	фотогеничным	fotogenický	фотогеничный	ADJ;INS;NEUT;SG
fotogenické	фотогеничное	fotogenický	фотогеничный	ACC;ADJ;NEUT;SG
fotogenické	фотогеничное	fotogenický	фотогеничный	ADJ;NEUT;NOM;SG
fotogenickú	фотогеничную	fotogenický	фотогеничный	ACC;ADJ;FEM;SG
fotogenický	фотогеничный	fotogenický	фотогеничный	ACC;ADJ;INAN;MASC;SG
fotogenických	фотогеничных	fotogenický	фотогеничный	ADJ;GEN;PL
fotogenickej	фотогеничной	fotogenický	фотогеничный	ADJ;ESS;FEM;SG
fotogenickou	фотогеничной	fotogenický	фотогеничный	ADJ;FEM;INS;SG
fotogenické	фотогеничные	fotogenický	фотогеничный	ADJ;NOM;PL
fotogenickom	фотогеничном	fotogenický	фотогеничный	ADJ;ESS;MASC;SG
fotografovať	снять	fotografovať	снять	NFIN;V
fotografom	фотографам	fotograf	фотограф	DAT;N;PL
fotografoch	фотографах	fotograf	фотограф	ESS;N;PL
fotografa	фотографа	fotograf	фотограф	ACC;N;SG
fotografov	фотографов	fotograf	фотограф	GEN;N;PL
fotografa	фотографа	fotograf	фотограф	GEN;N;SG
fotorgrafmi	фотографами	fotograf	фотограф	INS;N;PL
fotografovi	фотографу	fotograf	фотограф	DAT;N;SG
fotografovi	фотографе	fotograf	фотограф	ESS;N;SG
fotografi	фотографы	fotograf	фотограф	N;NOM;PL
fotograf	фотограф	fotograf	фотограф	N;NOM;SG
fotografom	фотографом	fotograf	фотограф	INS;N;SG
francia	франция	francium	франций	GEN;N;SG
franciom	францием	francium	франций	INS;N;SG
franciu	франции	francium	франций	ESS;N;SG
franciu	францию	francium	франций	DAT;N;SG
francium	франций	francium	франций	N;NOM;SG
francium	франций	francium	франций	ACC;N;SG
fúkať	дунуть	fúkať	дунуть	NFIN;V
garantovať	убедиться	garantovať	убедиться	NFIN;V
garantovať	удостовериться	garantovať	удостовериться	NFIN;V
garážam	гаражам	garáž	гараж	DAT;N;PL
garáže	гараже	garáž	гараж	ESS;N;SG
garáži	гаражу	garáž	гараж	DAT;N;SG
garáže	гаражи	garáž	гараж	ACC;N;PL
garáží	гаражей	garáž	гараж	GEN;N;PL
garážou	гаражом	garáž	гараж	INS;N;SG
garáže	гаражи	garáž	гараж	N;NOM;PL
garážach	гаражах	garáž	гараж	ESS;N;PL
garážami	гаражами	garáž	гараж	INS;N;PL
garáže	гаража	garáž	гараж	GEN;N;SG
garáž	гараж	garáž	гараж	ACC;N;SG
garáž	гараж	garáž	гараж	N;NOM;SG
gazdinej	домохозяйке	gazdiná	домохозяйка	DAT;N;SG
gazdinej	домохозяйке	gazdiná	домохозяйка	ESS;N;SG
gazdiné	домохозяйки	gazdiná	домохозяйка	N;NOM;PL
gazdinou	домохозяйкой	gazdiná	домохозяйка	INS;N;SG
gazdinách	домохозяйках	gazdiná	домохозяйка	ESS;N;PL
gazdinú	домохозяйку	gazdiná	домохозяйка	ACC;N;SG
gazdiná	домохозяйка	gazdiná	домохозяйка	N;NOM;SG
gazdinami	домохозяйками	gazdiná	домохозяйка	INS;N;PL
gazdinám	домохозяйкам	gazdiná	домохозяйка	DAT;N;PL
gazdinej	домохозяйки	gazdiná	домохозяйка	GEN;N;SG
gazdín	домохозяек	gazdiná	домохозяйка	GEN;N;PL
gréckej	греческой	grécky	греческий	ADJ;FEM;GEN;SG
gréckym	греческим	grécky	греческий	ADJ;DAT;PL
grécky	греческий	grécky	греческий	ACC;ADJ;INAN;MASC;SG
gréckych	греческих	grécky	греческий	ADJ;ESS;PL
grécky	греческий	grécky	греческий	ADJ;MASC;NOM;SG
gréckych	греческих	grécky	греческий	ADJ;GEN;PL
gréckom	греческом	grécky	греческий	ADJ;ESS;MASC;SG
gréckeho	греческого	grécky	греческий	ADJ;GEN;MASC;SG
gréckemu	греческому	grécky	греческий	ADJ;DAT;MASC;SG
gréckom	греческом	grécky	греческий	ADJ;ESS;NEUT;SG
gréckym	греческим	grécky	греческий	ADJ;INS;MASC;SG
gréckou	греческой	grécky	греческий	ADJ;FEM;INS;SG
gréckym	греческим	grécky	греческий	ADJ;INS;NEUT;SG
grécka	греческая	grécky	греческий	ADJ;FEM;NOM;SG
gréckemu	греческому	grécky	греческий	ADJ;DAT;NEUT;SG
grécke	греческое	grécky	греческий	ADJ;NEUT;NOM;SG
gréckeho	греческого	grécky	греческий	ADJ;GEN;NEUT;SG
gréckej	греческой	grécky	греческий	ADJ;ESS;FEM;SG
gréckej	греческой	grécky	греческий	ADJ;DAT;FEM;SG
grécke	греческие	grécky	греческий	ADJ;NOM;PL
grécke	греческое	grécky	греческий	ACC;ADJ;NEUT;SG
grécku	греческую	grécky	греческий	ACC;ADJ;FEM;SG
grécke	греческих	grécky	греческий	ACC;ADJ;PL
gréckeho	греческого	grécky	греческий	ACC;ADJ;MASC;SG
gréckymi	греческими	grécky	греческий	ADJ;INS;PL
gunára	гусака	gunár	гусак	ACC;N;SG
gunárovi	гусаку	gunár	гусак	DAT;N;SG
gunárom	гусакам	gunár	гусак	DAT;N;PL
gunárovi	гусаке	gunár	гусак	ESS;N;SG
gunárom	гусаком	gunár	гусак	INS;N;SG
gunármi	гусаками	gunár	гусак	INS;N;PL
gunáre	гусаки	gunár	гусак	N;NOM;PL
gunára	гусака	gunár	гусак	GEN;N;SG
gunároch	гусаках	gunár	гусак	ESS;N;PL
gunáre	гусаков	gunár	гусак	ACC;N;PL
gunár	гусак	gunár	гусак	N;NOM;SG
gunárov	гусаков	gunár	гусак	GEN;N;PL
gunárov	гусей	gunár	гусь	GEN;N;PL
gunárovi	гусе	gunár	гусь	ESS;N;SG
gunárom	гусем	gunár	гусь	INS;N;SG
gunára	гуся	gunár	гусь	ACC;N;SG
gunároch	гусях	gunár	гусь	ESS;N;PL
gunáre	гуси	gunár	гусь	N;NOM;PL
gunára	гуся	gunár	гусь	GEN;N;SG
gunármi	гусями	gunár	гусь	INS;N;PL
gunárovi	гусю	gunár	гусь	DAT;N;SG
gunárom	гусям	gunár	гусь	DAT;N;PL
gunár	гусь	gunár	гусь	N;NOM;SG
hafnium	гафний	hafnium	гафний	ACC;N;SG
hafniu	гафнии	hafnium	гафний	ESS;N;SG
hafnium	гафний	hafnium	гафний	N;NOM;SG
hafniu	гафнию	hafnium	гафний	DAT;N;SG
hafnia	гафния	hafnium	гафний	GEN;N;SG
hafniom	гафнием	hafnium	гафний	INS;N;SG
haly	приёмной	hala	приёмная	GEN;N;SG
halami	приёмными	hala	приёмная	INS;N;PL
halách	приёмных	hala	приёмная	ESS;N;PL
haly	приёмные	hala	приёмная	ACC;N;PL
hál	приёмных	hala	приёмная	GEN;N;PL
halou	приёмной	hala	приёмная	INS;N;SG
hale	приёмной	hala	приёмная	DAT;N;SG
halu	приёмную	hala	приёмная	ACC;N;SG
hala	приёмная	hala	приёмная	N;NOM;SG
halám	приёмным	hala	приёмная	DAT;N;PL
haly	приёмные	hala	приёмная	N;NOM;PL
hale	приёмной	hala	приёмная	ESS;N;SG
hatiť	загородить	hatiť	загородить	NFIN;V
hatiť	заслонить	hatiť	заслонить	NFIN;V
havranovi	граче	havran	грач	ESS;N;SG
havran	грач	havran	грач	N;NOM;SG
havrany	грачи	havran	грач	N;NOM;PL
havrana	грача	havran	грач	GEN;N;SG
havrany	грачей	havran	грач	ACC;N;PL
havranom	грачом	havran	грач	INS;N;SG
havranovi	грачу	havran	грач	DAT;N;SG
havranom	грачам	havran	грач	DAT;N;PL
havranov	грачей	havran	грач	GEN;N;PL
havranoch	грачах	havran	грач	ESS;N;PL
havrana	грача	havran	грач	ACC;N;SG
havranmi	грачами	havran	грач	INS;N;PL
hlasovať	проголосовать	hlasovať	проголосовать	NFIN;V
hlavám	нефам	hlava	неф	DAT;N;PL
hlavy	нефы	hlava	неф	ACC;N;PL
hlavami	нефами	hlava	неф	INS;N;PL
hlave	нефу	hlava	неф	DAT;N;SG
hlavách	нефах	hlava	неф	ESS;N;PL
hlava	неф	hlava	неф	N;NOM;SG
hlavy	нефа	hlava	неф	GEN;N;SG
hláv	нефов	hlava	неф	GEN;N;PL
hlavu	неф	hlava	неф	ACC;N;SG
hlave	нефе	hlava	неф	ESS;N;SG
hlavou	нефом	hlava	неф	INS;N;SG
hlavy	нефы	hlava	неф	N;NOM;PL
hlavné	основных	hlavný	основной	ACC;ADJ;PL
hlavnej	основной	hlavný	основной	ADJ;DAT;FEM;SG
hlavné	основные	hlavný	основной	ADJ;NOM;PL
hlavnom	основном	hlavný	основной	ADJ;ESS;MASC;SG
hlavnými	основными	hlavný	основной	ADJ;INS;PL
hlavnej	основной	hlavný	основной	ADJ;FEM;GEN;SG
hlavná	основная	hlavný	основной	ADJ;FEM;NOM;SG
hlavný	основной	hlavný	основной	ACC;ADJ;INAN;MASC;SG
